chembl_id	canonical_smiles	standard_inchi	standard_inchi_key	chembl_version	molecular_weight	logp	topological_surface_area_mapping	fsp3	scaffold_smiles	n_hba	n_hbd	ro5_fulfilled	max_ring_size
CHEMBL866545	CCOc1ccc(C2=C/C(=C/c3cccnc3)C(=O)O2)cc1	InChI=1S/C18H15NO3/c1-2-21-16-7-5-14(6-8-16)17-11-15(18(20)22-17)10-13-4-3-9-19-12-13/h3-12H,2H2,1H3/b15-10-	CWOZZNBMQSEEAL-GDNBJRDFSA-N	chembl_36	293.322	3.4616000000000016	48.42	0.1111111111111111	O=C1OC(c2ccccc2)=C/C1=C/c1cccnc1	4.0	0.0	True	6.0
CHEMBL877584	Cc1ccc(NN=c2c(C)nc3ccccc3[nH]c2=O)cc1	InChI=1S/C17H16N4O/c1-11-7-9-13(10-8-11)20-21-16-12(2)18-14-5-3-4-6-15(14)19-17(16)22/h3-10,20H,1-2H3,(H,19,21,22)	MWJQXHZIUSMPSJ-UHFFFAOYSA-N	chembl_36	292.34200000000004	2.46774	70.14	0.11764705882352941	O=c1[nH]c2ccccc2ncc1=NNc1ccccc1	4.0	2.0	True	7.0
CHEMBL2504960	N#Cc1cc(C(=O)N2CC=CC2)cc(Br)c1O	InChI=1S/C12H9BrN2O2/c13-10-6-8(5-9(7-14)11(10)16)12(17)15-3-1-2-4-15/h1-2,5-6,16H,3-4H2	GXKGVQHKOWLAGX-UHFFFAOYSA-N	chembl_36	293.12	2.0383800000000005	64.33	0.16666666666666666	O=C(c1ccccc1)N1CC=CC1	3.0	1.0	True	6.0
CHEMBL1836869	O=C1NCc2cc(-c3ccnc(NC(=O)C4CC4)c3)ccc21	InChI=1S/C17H15N3O2/c21-16(10-1-2-10)20-15-8-12(5-6-18-15)11-3-4-14-13(7-11)9-19-17(14)22/h3-8,10H,1-2,9H2,(H,19,22)(H,18,20,21)	XXGNHWQJNIVZFK-UHFFFAOYSA-N	chembl_36	293.326	2.3405000000000005	71.09	0.23529411764705882	O=C1NCc2cc(-c3ccnc(NC(=O)C4CC4)c3)ccc21	3.0	2.0	True	6.0
CHEMBL2644383	O=C(Nc1ccc(N2CCCC2=O)c(F)c1)[C@@H]1CCCO1	InChI=1S/C15H17FN2O3/c16-11-9-10(17-15(20)13-3-2-8-21-13)5-6-12(11)18-7-1-4-14(18)19/h5-6,9,13H,1-4,7-8H2,(H,17,20)/t13-/m0/s1	JZCRNCWYTYCXAH-ZDUSSCGKSA-N	chembl_36	292.31000000000006	2.07	58.64	0.4666666666666667	O=C(Nc1ccc(N2CCCC2=O)cc1)[C@@H]1CCCO1	3.0	1.0	True	6.0
CHEMBL974845	COCCn1c(C)cc(/C=C2\NC(=S)N(C)C2=O)c1C	InChI=1S/C14H19N3O2S/c1-9-7-11(10(2)17(9)5-6-19-4)8-12-13(18)16(3)14(20)15-12/h7-8H,5-6H2,1-4H3,(H,15,20)/b12-8-	KCDALZHGHWBPNN-WQLSENKSSA-N	chembl_36	293.39200000000005	1.4387400000000004	46.5	0.42857142857142855	O=C1NC(=S)N/C1=C\c1cc[nH]c1	4.0	1.0	True	5.0
CHEMBL1680836	Cc1c(/N=C/c2ccncc2)c(=O)n(-c2ccccc2)n1C	InChI=1S/C17H16N4O/c1-13-16(19-12-14-8-10-18-11-9-14)17(22)21(20(13)2)15-6-4-3-5-7-15/h3-12H,1-2H3/b19-12+	PYLDAHQOEFHNBK-XDHOZWIPSA-N	chembl_36	292.34200000000004	2.630020000000001	52.18	0.11764705882352941	O=c1c(/N=C/c2ccncc2)c[nH]n1-c1ccccc1	5.0	0.0	True	6.0
CHEMBL20675	CCc1ccccc1-c1n[nH]c(-c2ccc3c(c2)OCO3)n1	InChI=1S/C17H15N3O2/c1-2-11-5-3-4-6-13(11)17-18-16(19-20-17)12-7-8-14-15(9-12)22-10-21-14/h3-9H,2,10H2,1H3,(H,18,19,20)	ANQNTFMVOLLZJK-UHFFFAOYSA-N	chembl_36	293.326	3.429800000000002	60.03	0.17647058823529413	c1ccc(-c2n[nH]c(-c3ccc4c(c3)OCO4)n2)cc1	4.0	1.0	True	6.0
CHEMBL1027578	O=C1C=C(/C=C/c2ccccc2)C[C@@H](c2ccc(F)cc2)C1	InChI=1S/C20H17FO/c21-19-10-8-17(9-11-19)18-12-16(13-20(22)14-18)7-6-15-4-2-1-3-5-15/h1-11,13,18H,12,14H2/b7-6+/t18-/m1/s1	KGPVKTOWJSHWFG-IPLHWJFFSA-N	chembl_36	292.353	4.9120000000000035	17.07	0.15	O=C1C=C(/C=C/c2ccccc2)C[C@@H](c2ccccc2)C1	1.0	0.0	True	6.0
CHEMBL2647270	C=CCNC(=O)C(C)N1CCCC1C1CCCN1C(C)=O	InChI=1S/C16H27N3O2/c1-4-9-17-16(21)12(2)18-10-5-7-14(18)15-8-6-11-19(15)13(3)20/h4,12,14-15H,1,5-11H2,2-3H3,(H,17,21)	ABPVOMMSMULKQJ-UHFFFAOYSA-N	chembl_36	293.411	1.1523999999999992	52.650000000000006	0.75	C1CNC(C2CCCN2)C1	3.0	1.0	True	5.0
